PRÉ CONGRESSO ENDOGINECO 2026 ,,
Horário ,"Quinta-feira, 27/08/2026",Palestrante 
,,
12:30,Credenciamento cursos Pré Congresso ,
13:00-13:15 ,Abertura ,
13:15 - 17:00,"AUDITÓRIO C - Curso de USG Mapeamento de Endometriose
Coordenação:  MEDERE  (Cecília Pontes - PE e Penélope Melo - PE ) ",,
13:30 - 14:30,Bloco 1 - Fundamentos & Anatomia Aplicada,,
,"A ""Cara"" da Doença nos exames radiológicos US e RM",,
,Compartimentalização da pelve: Como a doença se apresenta e se espalha.,,
,Compartimento anterior: Falando da bexiga: Quando o achado de imagem acende o alerta para mudar a estratégia ou chamar o urologista.,,
,Compartimento Posterior: espeço retrocervical e intestino. Desvendando a pelve antes de abrir: como podemos ajudar o cirurgião.,,
,Compartimento lateral: quando a lesão infiltra mais que o esperado ,,
14:30 - 15:30,Bloco 2 - Raciocínio Clínico e Prática de Consultório,,
,"Correlação Prática (US vs RM): Discussão interativa de casos reais focados em dor, infertilidade e planejamento cirúrgico. Onde os métodos concordam, onde discordam e como isso muda sua conduta.",,
,"O Laudo Traduzido"": Como interpretar o laudo radiológico, compreendendo os achados e como evitar o hiperdiagnóstico",,
15:30 - 16:00,COFFEE BREAK,,
16:00 - 17:00,"Bloco 3 - Fronteiras, Infertilidade e o Futuro da Imagem",,
,Avaliação de Tubas e Cavidade por US,,
,Desafios Avançados:,,
,Como avaliar lesões em sítios atípicos (diafragma e parede),,
,As armadilhas do mapeamento pós-operatório (fibrose x recidiva x lesão residual) e o impacto dos bloqueios hormonais na leitura dos exames.,,
,O que há de Novo na Literatura Mundial: As evidências científicas e diretrizes internacionais mais recentes que estão mudando a conduta na endometriose profunda.,
